rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
174,Marcelo Grohe,br BRA,GK,Al Kholood Saudi Club,37,1987,32.0,1,0,0,0,4,0,0,0,1,,,0,Matches
175,Cristian Guanca,ar ARG,MF,Al-Shabab,31,1993,33.3,0,0,0,12,15,6,127,24,22,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Norbert Gyömbér,sk SVK,DF,Al Kholood Saudi Club,32,1992,32.8,3,0,0,22,25,0,1,36,24,,,0,Matches
177,Abdulaziz Hadhood,sa KSA,FW,Al-Hilal,19,2005,0.0,0,0,0,0,1,0,0,0,0,,,0,Matches
178,Abdullah Al-Hafith,sa KSA,DF,Al-Wehda,31,1992,22.2,1,0,0,13,10,0,1,14,20,,,0,Matches
179,Marwan Al Haidari,sa KSA,GK,Al-Khaleej,28,1996,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
180,Asiri Haitham,sa KSA,FW,Al-Qadsiah,23,2001,2.1,2,0,0,3,8,1,4,0,3,,,0,Matches
181,Asiri Haitham,sa KSA,FW,Al-Ahli,23,2001,0.1,0,0,0,0,0,0,2,0,0,,,0,Matches
182,Talal Haji,sa KSA,FW,Al-Riyadh SC,16,2007,3.1,1,0,0,5,2,1,1,1,1,,,0,Matches
183,Fahad Al Hamad,sa KSA,DF,Al-Ahli,26,1998,0.6,1,0,0,4,0,0,0,0,1,,,0,Matches
184,Abderrazak Hamdallah,ma MAR,FW,Al-Shabab,33,1990,25.2,4,1,1,22,36,25,2,4,8,,,0,Matches
185,Abdullah Al Hamdan,sa KSA,MF,Al-Hilal,24,1999,3.8,1,0,0,6,8,1,5,1,5,,,0,Matches
186,Tarek Hamed,eg EGY,MF,Damac,35,1988,6.0,2,0,0,15,8,0,2,5,2,,,0,Matches
187,Rayan Hamidou,sa KSA,DF,Al-Ahli,22,2002,4.1,4,0,0,7,0,0,3,6,5,,,0,Matches
188,Hammam Al Hammami,sa KSA,"MF,FW",Al Kholood Saudi Club,20,2004,20.0,6,0,0,28,41,4,75,22,22,,,0,Matches
189,Saeed Al Hamsal,sa KSA,DF,Al-Khaleej,28,1996,26.2,8,1,0,36,35,2,68,26,50,,,1,Matches
190,Mansor Hamzi,sa KSA,"MF,DF",Al-Khaleej,32,1992,32.0,2,0,0,19,68,3,35,39,41,,,0,Matches
191,Saad Haqawi,sa KSA,FW,Al-Nassr,18,2005,0.7,1,0,0,4,3,1,0,0,3,,,0,Matches
192,Abdulhadi Al-Harajin,sa KSA,"MF,FW",Al-Fayha,29,1994,3.7,2,0,0,8,13,0,16,2,1,,,0,Matches
193,Abdulmalik Al Harbi,sa KSA,MF,Al-Taawoun,19,2005,0.6,1,0,0,6,2,0,2,0,1,,,0,Matches
194,Moteb Al-Harbi,sa KSA,DF,Al-Shabab,24,2000,2.0,1,0,0,1,4,1,2,4,2,,,0,Matches
195,Moteb Al-Harbi,sa KSA,DF,Al-Hilal,24,2000,10.4,0,0,0,12,10,0,34,24,19,,,0,Matches
196,Ahmed Haresai,sa KSA,"MF,FW",Damac,23,2000,1.7,1,1,0,4,1,0,7,0,1,,,0,Matches
197,Nawaf Al Harthi,sa KSA,MF,Al-Fayha,25,1998,12.2,0,0,0,17,21,1,40,7,27,,,0,Matches
