rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
186,Kazuya Konno,jp JPN,FW,FC Tokyo,22,1997,2.5,,5,,,,,,,,,,5,,,,Matches
187,Shinzo Koroki,jp JPN,FW,Urawa Reds,33,1986,21.6,,7,,,,,,,,,,2,,,,Matches
188,Koki Kotegawa,jp JPN,MF,Oita Trinita,30,1989,0.0,,1,,,,,,,,,,0,,,,Matches
189,Tomoya Koyamatsu,jp JPN,"MF,FW",Sagan Tosu,24,1995,27.4,,20,,,,,,,,,,23,,,,Matches
190,Kazuki Kozuka,jp JPN,"MF,FW",Oita Trinita,25,1994,4.2,,1,,,,,,,,,,6,,,,Matches
191,Kakeru Kumagawa,jp JPN,DF,Yokohama FC,22,1997,0.2,,0,,,,,,,,,,0,,,,Matches
192,Shu Kurata,jp JPN,MF,Gamba Osaka,31,1988,25.8,,23,,,,,,,,,,28,,,,Matches
193,Keisuke Kurokawa,jp JPN,"DF,MF",Gamba Osaka,22,1997,0.1,,0,,,,,,,,,,1,,,,Matches
194,Shintaro Kurumaya,jp JPN,DF,Kawa Frontale,27,1992,13.6,,16,,,,,,,,,,22,,,,Matches
195,Yuki Kusano,jp JPN,MF,Yokohama FC,23,1996,2.4,,2,,,,,,,,,,0,,,,Matches
196,Kazuki Kushibiki,jp JPN,DF,Sanfrecce,26,1993,2.0,,1,,,,,,,,,,4,,,,Matches
197,Mun Kyunggun,kr KOR,GK,Oita Trinita,24,1995,17.0,,1,,,,,,,,,,0,,,,Matches
198,Ibba Laajab,no NOR,"FW,MF",Yokohama FC,34,1985,0.0,,0,,,,,,,,,,0,,,,Matches
199,Mitchell Langerak,au AUS,GK,Grampus,31,1988,34.0,,3,,,,,,,,,,0,,,,Matches
200,Leandro,br BRA,"FW,MF",FC Tokyo,26,1993,23.2,,12,,,,,,,,,,11,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
201,Leo,br BRA,FW,Urawa Reds,22,1997,20.1,,8,,,,,,,,,,9,,,,Matches
202,Erik Lima,br BRA,"MF,FW",Marinos,25,1994,20.0,,17,,,,,,,,,,9,,,,Matches
203,Anderson Lopes,br BRA,"FW,MF",Consa Sapporo,26,1993,16.1,,5,,,,,,,,,,3,,,,Matches
204,Renzo López,uy URU,FW,Sagan Tosu,25,1994,5.9,,3,,,,,,,,,,0,,,,Matches
205,Koki Machida,jp JPN,DF,Kashima Antlers,22,1997,20.1,,22,,,,,,,,,,25,,,,Matches
206,Yamato Machida,jp JPN,MF,Oita Trinita,30,1989,10.8,,15,,,,,,,,,,14,,,,Matches
207,Daizen Maeda,jp JPN,"MF,FW",Marinos,22,1997,11.2,,12,,,,,,,,,,12,,,,Matches
208,Naoki Maeda,jp JPN,MF,Grampus,25,1994,19.5,,5,,,,,,,,,,4,,,,Matches
209,Ryosuke Maeda,jp JPN,MF,Oita Trinita,25,1994,5.5,,9,,,,,,,,,,13,,,,Matches
